SK_ID_CURR,TARGET,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN
100546,0,F,N,Y,0
100547,1,M,Y,N,0
100549,0,M,N,Y,0
100550,0,F,Y,Y,0
100554,0,F,Y,Y,0
100555,0,F,N,N,0
100556,0,F,N,Y,0
100557,0,F,Y,Y,0
100558,0,F,N,Y,0
100559,0,F,Y,Y,0
100560,0,F,N,N,0
100562,0,M,N,Y,1
100563,0,M,N,Y,0
100564,0,F,N,Y,2
100565,0,F,N,Y,0
100566,0,F,N,Y,1
100567,1,M,Y,Y,0
100570,0,F,Y,N,0
100571,0,F,Y,Y,2
100572,0,F,N,Y,0
100573,0,F,Y,N,1
100574,0,F,Y,Y,0
100575,0,F,Y,Y,0
100576,0,F,N,Y,2
100577,0,F,N,Y,0
100578,0,F,N,N,1
100579,0,F,N,N,2
100580,0,F,N,Y,0
100581,0,F,N,Y,0
100582,0,M,N,Y,0
100583,0,M,Y,Y,1
100585,0,F,N,Y,0
100586,0,F,N,Y,0
100587,0,F,Y,Y,1
100588,0,F,N,Y,1
100589,0,F,N,Y,0
100590,0,F,Y,N,0
100593,0,F,Y,Y,0
100594,0,F,N,Y,0
100595,0,F,N,Y,0
100596,0,F,N,Y,0
100597,0,F,N,Y,0
100598,0,M,N,Y,0
100599,0,F,N,Y,0
100600,0,F,N,Y,2
100601,0,F,N,Y,0
100603,0,F,N,Y,0
100604,0,F,N,N,0
100605,0,F,Y,Y,1
100606,0,F,Y,Y,0
100608,0,M,N,N,0
100609,0,F,N,Y,0
100610,0,F,Y,Y,0
100611,0,F,N,N,0
100612,0,F,Y,N,0
100614,0,F,N,N,0
100615,0,F,N,Y,0
100616,1,F,Y,N,0
100619,0,F,N,N,0
100620,0,F,N,Y,0
100621,0,F,Y,Y,0
100623,0,F,N,Y,0
100624,0,M,Y,Y,0
100627,0,F,N,Y,0
100629,0,F,N,Y,0
100630,0,M,Y,N,0
100631,0,F,N,Y,1
100632,0,F,Y,Y,0
100633,0,M,Y,Y,1
100634,0,F,N,Y,0
100635,0,F,N,Y,0
100636,1,F,N,Y,0
100637,0,F,N,Y,0
100638,0,F,Y,Y,0
100639,0,F,N,Y,0
100640,0,F,N,Y,2
100641,1,F,N,Y,0
100642,0,F,N,Y,0
100643,0,F,N,Y,0
100644,0,F,Y,Y,2
100645,0,M,Y,N,0
100646,1,F,Y,Y,0
100647,0,F,N,Y,0
100648,0,M,Y,N,0
100649,1,M,N,N,2
100650,1,F,N,N,0
100651,0,M,Y,N,0
100652,0,F,Y,Y,0
100653,0,M,N,Y,1
100654,0,M,N,Y,2
100655,0,M,N,Y,0
100656,0,M,N,Y,0
100658,0,F,N,N,1
100659,0,F,N,Y,0
100660,0,M,N,Y,2
100661,0,F,Y,Y,0
100662,0,F,N,Y,0
100663,0,M,N,Y,0
100665,0,M,N,Y,2
100666,0,F,Y,Y,0
100667,0,F,N,Y,0
100668,0,F,N,N,1
100669,0,F,Y,N,0
100670,0,F,N,Y,0
100671,0,F,N,Y,1
100672,1,F,N,Y,0
100674,0,F,Y,Y,0
100675,0,M,Y,Y,0
100676,0,F,Y,N,0
100678,0,M,Y,Y,2
100679,0,F,N,Y,0
100680,0,F,N,Y,0
100681,0,F,Y,N,0
100682,0,M,N,Y,0
100683,0,F,Y,Y,0
100684,0,F,Y,N,0
100685,0,F,N,N,0
100686,0,M,N,N,0
100687,0,F,Y,Y,0
100688,0,F,N,Y,2
100689,0,F,N,Y,0
100691,0,F,N,Y,2
100692,0,F,N,Y,0
100693,0,F,N,Y,3
100694,0,F,N,Y,1
100695,0,F,N,Y,0
100696,0,F,Y,Y,0
100697,0,F,N,Y,0
100698,0,F,N,Y,0
100700,0,M,N,N,0
100701,0,F,N,Y,0
100703,0,F,Y,Y,0
100704,0,F,N,N,0
100705,0,F,N,Y,0
100706,0,F,N,Y,0
100707,0,F,N,Y,3
100708,0,M,N,Y,0
100709,0,F,Y,Y,2
100710,0,F,Y,Y,0
100712,0,F,N,N,2
100713,1,M,N,Y,0
100714,1,M,N,Y,0
100716,0,F,Y,N,1
100717,1,F,N,Y,0
100718,0,F,N,Y,2
100719,0,F,Y,Y,0
100720,0,F,N,Y,1
100721,0,F,Y,Y,1
100722,0,F,Y,Y,0
100723,0,F,Y,N,1
100724,0,F,N,Y,2
100725,0,M,Y,Y,1
100726,0,F,Y,N,0
100727,0,F,Y,Y,0
100728,0,F,N,N,0
100730,0,F,N,Y,1
100731,0,M,Y,Y,1
100732,0,M,N,Y,0
100733,0,M,N,N,0
100734,0,F,Y,Y,1
100735,0,F,Y,Y,1
100736,0,F,Y,N,0
100737,0,F,N,Y,0
100738,0,F,N,Y,2
100739,0,M,N,Y,2
100741,0,F,Y,Y,0
100743,0,F,N,Y,0
100746,0,F,Y,Y,0
100748,0,F,Y,Y,1
100749,0,M,N,N,0
100750,0,F,N,Y,0
100755,0,F,N,Y,0
100756,0,F,N,Y,0
100757,0,F,N,N,0
100758,0,M,N,Y,1
100759,0,F,Y,N,2
100761,0,M,N,N,0
100764,0,F,Y,Y,0
100766,0,F,Y,Y,2
100767,0,F,N,Y,0
100768,0,F,Y,N,0
100769,0,F,N,Y,2
100771,0,F,N,Y,1
100773,0,F,N,Y,0
100774,0,F,N,Y,0
100775,0,F,Y,N,0
100776,0,F,N,Y,0
100778,0,F,Y,Y,0
100779,0,F,N,Y,0
100780,0,M,N,N,0
100781,0,F,Y,Y,0
100782,0,F,N,N,0
100783,0,F,N,Y,0
100784,1,F,N,Y,0
100785,0,F,Y,N,0
100786,0,F,N,N,0
100787,0,F,Y,N,0
100788,0,F,N,N,0
100789,0,F,N,Y,0
100790,0,F,Y,N,0
100793,0,F,N,Y,0
100794,0,F,N,Y,0
100795,0,F,Y,Y,1
100796,1,M,N,Y,0
100798,0,F,N,Y,0
100799,0,M,Y,Y,0
100800,0,F,N,Y,0
100801,0,F,N,Y,0
100802,0,F,N,Y,0
100803,0,F,N,Y,0
100804,0,F,N,Y,2
100805,0,F,Y,N,0
100806,0,F,N,Y,0
100807,0,F,Y,Y,2
100808,1,M,N,Y,2
100809,0,F,N,Y,0
100812,0,F,N,Y,1
100813,0,F,N,N,0
100814,0,F,N,Y,0
100815,0,F,Y,Y,0
100816,1,F,N,Y,0
100818,0,M,N,Y,0
100819,0,F,N,N,0
100820,0,F,N,Y,1
100821,0,F,N,N,0
100822,0,F,N,Y,1
100824,0,F,N,Y,0
100825,0,F,N,Y,0
100827,0,F,N,N,0
100828,0,F,N,Y,0
100829,0,F,N,N,0
100831,0,F,Y,Y,2
100832,0,F,N,Y,1
100833,0,M,N,Y,0
100834,0,F,N,Y,2
100835,0,M,Y,Y,0
100837,0,F,N,Y,2
100838,0,M,N,N,0
100839,1,F,N,N,0
100840,1,M,Y,Y,0
100842,0,F,Y,Y,1
100843,0,F,N,N,0
100844,0,F,N,Y,2
100845,0,F,N,Y,1
100846,0,F,N,N,0
100847,0,F,Y,Y,0
100848,0,F,Y,Y,0
100849,0,F,N,Y,0
100851,0,F,Y,Y,0
100852,0,F,Y,Y,0
100853,0,F,N,Y,2
100854,0,M,N,N,1
100855,0,F,Y,N,0
100856,0,F,N,Y,0
100857,0,F,N,Y,0
100858,0,F,Y,Y,2
100859,0,M,N,Y,0
100860,0,F,N,Y,1
100861,0,M,N,N,0
100862,0,F,Y,Y,0
100863,0,F,N,Y,0
100864,0,F,N,Y,0
100865,0,M,Y,Y,2
100866,0,F,N,Y,0
100867,0,F,Y,Y,0
100868,0,M,N,N,0
100869,0,F,N,N,0
100870,0,F,N,Y,0
100871,0,F,N,Y,0
100873,0,F,N,Y,0
100874,0,M,N,Y,0
100875,0,F,N,Y,1
100876,0,F,Y,Y,1
100877,0,F,N,Y,0
100878,0,M,N,Y,1
100879,1,M,Y,Y,0
100880,0,M,N,N,0
100881,0,F,N,N,0
100882,0,M,N,Y,0
100883,0,F,Y,N,2
100884,0,F,N,Y,0
100885,0,F,N,N,0
100886,0,F,Y,Y,0
100887,0,F,N,Y,0
100888,0,M,Y,N,0
100890,0,F,N,Y,0
100891,0,F,N,N,0
100892,0,F,N,Y,0
100893,0,M,N,Y,0
100894,0,F,N,N,2
100895,0,F,N,N,0
100896,1,M,N,N,0
100897,0,M,N,Y,0
100898,0,F,N,Y,0
100899,0,F,N,N,1
100900,0,F,N,Y,0
100901,0,F,N,Y,1
100902,1,F,N,Y,0
100903,0,F,N,Y,1
100904,0,F,N,Y,1
100905,0,F,N,Y,0
100906,0,F,N,N,0
100907,0,F,Y,N,2
100908,0,M,N,Y,0
100909,0,M,N,Y,0
100911,0,F,N,N,0
100912,0,F,N,Y,2
100914,0,F,Y,Y,0
100915,0,F,N,Y,1
100916,0,F,N,Y,1
100917,0,F,N,Y,0
100919,0,F,N,N,0
100920,0,F,Y,Y,3
100921,0,M,N,N,0
100922,0,F,N,Y,0
100923,0,M,Y,Y,2
100924,0,F,N,Y,0
100925,0,M,N,N,0
100926,0,F,N,N,0
100927,0,F,N,Y,0
100928,0,F,Y,Y,1
100929,0,F,N,Y,0
100930,0,M,N,Y,2
100932,0,F,N,Y,0
100933,0,F,Y,Y,0
100934,0,F,N,Y,1
100935,0,F,Y,Y,0
100937,0,F,Y,Y,0
100938,0,F,Y,N,0
100939,0,F,N,N,0
100940,0,F,Y,N,0
100941,0,F,N,Y,0
100942,0,F,N,Y,0
100943,0,M,N,N,0
100944,0,F,N,N,1
100945,1,M,N,Y,0
100946,0,M,N,N,0
100947,0,F,Y,Y,0
100948,0,F,Y,Y,0
100949,0,F,N,Y,1
100950,0,F,N,N,0
100951,0,F,N,Y,0
100954,0,M,N,Y,0
100955,0,F,N,Y,0
100956,0,M,N,Y,0
100957,0,F,Y,Y,0
100958,0,F,Y,Y,1
100959,0,F,Y,Y,2
100960,0,F,N,Y,0
100961,0,F,N,Y,0
100962,0,F,Y,N,1
100963,1,M,N,Y,0
100964,0,F,N,Y,0
100966,0,M,N,Y,1
100967,0,F,Y,Y,0
100968,0,F,Y,Y,1
100969,0,F,N,Y,0
100971,1,F,Y,N,1
100972,0,M,N,Y,0
100973,0,F,N,Y,0
100974,0,F,N,N,0
100975,0,F,Y,Y,1
100976,0,M,Y,Y,0
100977,0,F,Y,Y,0
100978,0,F,Y,N,0
100979,0,F,N,Y,0
100980,0,F,N,Y,1
100985,0,M,Y,Y,1
100986,0,M,Y,Y,0
100988,0,F,Y,Y,0
100989,0,F,Y,Y,1
100990,0,F,N,Y,2
100991,0,M,N,Y,1
100992,1,F,N,N,2
100993,0,F,N,Y,1
100994,0,M,N,N,0
100995,0,F,Y,N,2
100996,1,M,N,N,1
101000,0,F,N,Y,1
101001,0,F,N,N,2
101003,0,F,Y,Y,0
101004,0,F,Y,Y,1
101006,0,F,N,N,0
101007,0,F,Y,N,0
101009,0,M,N,Y,0
101010,0,F,N,N,0
101011,0,F,N,Y,0
101012,0,F,N,N,0
101013,0,F,Y,Y,1
101014,0,F,Y,N,0
101015,0,F,N,Y,1
101016,0,F,Y,Y,0
101017,0,F,Y,Y,0
101018,0,F,Y,Y,0
101019,0,F,N,Y,0
101022,0,M,N,Y,0
101023,0,F,Y,Y,0
101027,0,F,Y,Y,0
101028,0,F,N,Y,1
101029,0,F,Y,Y,0
101030,0,F,Y,Y,0
101032,0,F,N,Y,0
101033,0,M,N,Y,0
101034,0,F,Y,Y,1
101035,0,F,N,N,0
101036,0,F,N,Y,0
101037,0,M,N,N,0
101038,0,F,Y,Y,0
101039,0,F,Y,Y,0
101040,0,F,Y,Y,1
101042,1,M,N,Y,1
101043,0,M,N,Y,0
101044,0,F,N,Y,1
101045,0,F,Y,N,0
101046,0,F,N,Y,0
101047,0,F,Y,Y,0
101048,0,M,Y,N,0
101049,0,F,Y,Y,0
101050,0,M,N,Y,0
101052,0,F,N,Y,0
101053,0,M,N,N,0
101054,0,F,N,Y,0
101058,0,F,N,N,2
101059,0,F,Y,Y,0
101060,0,F,N,N,0
101061,0,F,N,Y,0
101062,0,F,Y,Y,1
101063,1,F,Y,N,2
101065,0,F,Y,N,0
101066,0,M,N,N,1
101067,0,F,Y,Y,0
101068,0,M,Y,Y,2
101069,0,F,Y,Y,0
101070,0,F,Y,Y,0
101071,0,F,Y,Y,0
101072,0,F,N,Y,0
101073,1,M,Y,N,0
101074,0,F,Y,Y,0
101075,0,F,N,Y,0
101076,1,F,N,Y,0
101077,0,F,Y,Y,0
101078,0,M,N,N,1
101080,0,F,N,N,0
101081,0,F,N,Y,0
101082,0,F,N,Y,1
101083,0,M,N,N,0
101084,0,F,Y,Y,1
101085,0,F,Y,Y,0
101086,0,F,Y,N,0
101088,0,F,N,N,0
101089,0,F,N,N,0
101091,0,F,N,N,0
101093,1,F,N,Y,0
101094,0,F,N,Y,0
101095,0,F,N,N,0
101096,1,M,N,Y,0
101098,0,F,Y,N,1
101100,0,M,N,N,0
101101,0,F,N,Y,0
101102,0,F,N,Y,2
101103,0,F,N,N,0
101104,0,F,N,Y,0
101105,0,F,N,Y,0
101106,0,F,N,Y,0
101108,0,M,N,Y,0
101109,0,M,Y,N,0
101110,0,F,Y,N,2
101111,0,F,Y,Y,0
101112,0,F,N,Y,0
101113,0,F,N,Y,0
101114,0,F,Y,Y,0
101115,0,F,Y,Y,1
101116,0,F,Y,Y,0
101117,0,F,N,N,0
101119,0,F,Y,Y,1
101120,0,M,N,Y,0
101121,1,F,N,Y,2
101122,0,F,N,N,1
101123,0,M,Y,Y,0
101124,0,F,N,N,0
101127,1,M,Y,N,0
101129,0,F,Y,Y,0
101130,0,F,Y,Y,0
101132,0,F,N,Y,1
101133,0,F,N,Y,0
101134,0,M,Y,N,0
101137,0,F,N,Y,0
101138,0,F,N,Y,0
101139,0,M,Y,Y,1
101141,0,F,N,N,2
101142,1,M,N,Y,2
101143,0,M,N,Y,1
101144,0,F,N,N,0
101145,0,F,Y,N,2
101147,1,F,N,Y,2
101148,0,F,Y,N,1
101150,0,F,Y,Y,0
101151,0,F,N,N,0
101152,0,F,N,N,0
101153,0,F,N,Y,0
101154,0,M,Y,Y,0
101155,0,F,N,Y,0
101156,0,F,Y,Y,2
101157,0,F,Y,Y,0
101158,0,F,Y,Y,0
101159,0,F,Y,Y,0
101161,0,F,N,N,0
101162,0,F,N,Y,1
101163,0,M,N,Y,0
101164,0,F,Y,Y,1
101165,1,F,N,Y,0
101166,0,F,Y,N,0
101167,0,M,N,Y,1
101168,0,F,N,Y,0
101170,0,F,N,Y,1
101171,0,F,N,N,0
101172,0,F,Y,Y,0
101173,0,F,N,Y,1
101174,0,F,N,Y,1
101175,0,F,Y,Y,0
101176,0,F,N,Y,0
101177,0,F,N,N,0
101178,0,F,Y,Y,0
101179,0,F,N,Y,2
101180,0,F,N,Y,1
101182,0,F,N,Y,0
101183,0,M,N,Y,1
101184,0,F,N,Y,0
101185,0,M,N,N,0
101187,0,F,Y,N,0
101188,0,F,Y,Y,0
101189,0,M,Y,Y,0
101191,0,F,N,N,0
101192,0,F,N,N,1
101195,0,F,N,Y,0
101196,0,M,N,Y,0
101197,1,M,N,Y,0
101199,0,F,Y,Y,0
